id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.05
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.82,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.05,0.06
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.89,0.03
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.87,0.03
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.42,0.08
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.65,0.04
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.85,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.04,0.06
11,Street Philosopher,Marcus Beat,hip-hop,confident,0.74,95,0.72,0.84,0.08,0.01,0.71
12,Moonlit Sonata,Clara Voss,classical,melancholic,0.22,58,0.31,0.24,0.97,0.94,0.03
13,Velvet Nights,Sasha Bloom,r&b,romantic,0.61,88,0.68,0.76,0.31,0.03,0.12
14,Dusty Roads,The Hollow Pines,folk,nostalgic,0.33,74,0.55,0.45,0.91,0.08,0.07
15,Neon Surge,Pulse Grid,edm,euphoric,0.97,140,0.88,0.95,0.02,0.71,0.04
16,Broken Porch,River Lane,country,sad,0.38,68,0.28,0.42,0.83,0.05,0.06
17,Iron Descent,Wraith Engine,metal,angry,0.96,168,0.22,0.52,0.04,0.07,0.09
18,Sunday Easy,Coral Riddim,reggae,peaceful,0.44,76,0.73,0.71,0.62,0.06,0.18
19,Blue Porch Rain,Earl Dusty,blues,melancholic,0.31,65,0.34,0.38,0.74,0.14,0.11
20,Get On Up,The Groove Unit,funk,groovy,0.78,108,0.85,0.91,0.14,0.09,0.16
